code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
H-160[32],ACHAKAN H-160 [32],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE,32,3,available,,,JINI VEL PRINT,TRUE
H-161[32],ACHAKAN H-161 [32],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,32,3,available,,,JINA FLOWER,TRUE
H-162[34],ACHAKAN H-162 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,34,3,available,,,GOLDEN PRINT GREEN TAPKI,TRUE
H-163[42],ANGARAKHU H-163 [42],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,42,3,available,,,GALE PUNCH HATHI VADU,TRUE
H-164[40],ACHAKAN H-164 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,40,3,available,,,JINA FLOWER,TRUE
H-165[40],ACHAKAN H-165 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,PINK,40,3,available,,,GOLDEN FUL PRINT MAROON TAPKI,TRUE
H-166[36],ANGARAKHU H-166 [36],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,36,3,available,,,VELVET HATHI VADU ,TRUE
H-167[34],ANGARAKHU H-167 [34],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,34,3,available,,,VELVET HATHI VADU ONION,TRUE
H-168[38],ACHAKAN H-168 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE,38,3,available,,,JINI PRINT,TRUE
H-169[40],ACHAKAN H-169 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,40,3,available,,,MAROON TAPKI,TRUE
H-170[40],ANGARAKHU H-170 [40],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,40,3,available,,,VELVET HATHI VADU,TRUE
H-171[40],ACHAKAN H-171 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,40,3,available,,,FLOWER PRINT VEL,TRUE
H-172[34],ACHAKAN H-172 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,PISTA,34,3,available,,,MAROON TAPKI,TRUE
H-173[42],ACHAKAN H-173 [42],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,42,3,available,,,JINI FLOWER PRINT,TRUE
H-174[44],ANGARAKHU H-174 [44],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,44,3,available,,,CROSS PLAN,TRUE
H-175[36],ACHAKAN H-175 [36],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,36,3,available,,,MOTI VEL ORANGE TAPKI,TRUE
H-176[46],ACHAKAN H-176 [46],rent,ANGARAKHU-ACHAKAN,1,3000,,,PINK,46,3,available,,,FULVADU,TRUE
H-177[46],ANGARAKHU H-177 [46],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,46,3,available,,,MAROON VELVET CROSS DORI VADU,TRUE
H-178[34],ACHAKAN H-178 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,RANI GULABI ,34,3,available,,,FLOWER PRINT,TRUE
H-179[34],ACHAKAN H-179 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE,34,3,available,,,MOTI BUTTI,TRUE
H-180[32],ACHAKAN H-180 [32],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,32,3,available,,,ORANGE FLOWER,TRUE
H-181[46],ACHAKAN H-181 [46],rent,ANGARAKHU-ACHAKAN,1,3000,,,WHITE,46,3,available,,,JINI PRINT,TRUE
H-182[34],ANGARAKHU H-182 [34],rent,ANGARAKHU-ACHAKAN,1,7000,,,PURPLE,34,3,available,,,PANCH VADU HATHI VADU,TRUE
H-183[38],ACHAKAN H-183 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,LIGHT PURPLE,38,3,available,,,MAROON TAPKI,TRUE
H-184[44],ANGARAKHU H-184 [44],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,44,3,available,,,VELVET HATHI VADU,TRUE
H-185[32],ACHAKAN H-185 [32],rent,ANGARAKHU-ACHAKAN,1,3000,,,PISTA,32,3,available,,,GOLDEN BUTTTI VADU,TRUE
H-186[38],ANGARAKHU H-186 [38],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON ,38,3,available,,,CROSS PLAN,TRUE
H-187[38],ACHAKAN H-187 [38],rent,ANGARAKHU-ACHAKAN,1,3000,,,PISTA,38,3,available,,,GOLDEN BUTTIVADU ,TRUE
H-188[40],ACHAKAN H-188 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,40,3,available,,,GOLDAN BUTTA VADU,TRUE
H-189[36],ANGARAKHU H-189 [36],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,36,3,available,,,VELVET NICHE HATHI WHITE PANCH VARGHODO,TRUE
H-190[40],ACHAKAN H-190 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,PISTA,40,3,available,,,GOLDAN BUTTTA VADU,TRUE
H-191[40],ACHAKAN H-191 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,CRAM,40,3,available,,,GOLDAN MAROON TAPKI,TRUE
H-192[32],ACHAKAN H-192 [32],rent,ANGARAKHU-ACHAKAN,1,3000,,,RANI GULABI,32,3,available,,,FLOWER PRINT,TRUE
H-193[34],ANGARAKHU H-193 [34],rent,ANGARAKHU-ACHAKAN,1,7000,,,PINK,34,3,available,,,VELVET HATHI VADU,TRUE
H-194[36],ANGARAKHU H-194 [36],rent,ANGARAKHU-ACHAKAN,1,11000,,,PINK,36,3,available,,,TISHYU NICHE HATHI,TRUE
H-195[34],ACHAKAN H-195 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,34,3,available,,,FLOWER PRINT,TRUE
H-196[34],ACHAKAN H-196 [34],rent,ANGARAKHU-ACHAKAN,1,3000,,,PISTA,34,3,available,,,GOLDAN BUTTI,TRUE
H-197[32],ANGARAKHU H-197 [32],rent,ANGARAKHU-ACHAKAN,1,7000,,,MAROON,32,3,available,,,VELVET CROSS GALU DORIVADU,TRUE
H-198[40],ACHAKAN H-198 [40],rent,ANGARAKHU-ACHAKAN,1,3000,,,RED,40,3,available,,,FLOWER PRINT,TRUE
H-199[32],ACHAKAN H-199 [32],rent,ANGARAKHU-ACHAKAN,1,3000,,,PICH ,32,3,available,,,BUTTI V ADU,TRUE
