code,name,type,category_name,qty,price_rent,price_sell,purchase_price,color,size,lifetime_gap,status,vendor_id,main_image,notes,is_active
S-1417[36],JODHPURI COAT S-1417 [36],rent,JODHPURI COAT,1,,,,GULABI,36,3,available,,,VELVET HATHI WORK,TRUE
S-1418[36],JODHPURI COAT S-1418 [36],rent,JODHPURI COAT,1,,,,BLUE,36,3,available,,,AMRODARI HARAN,TRUE
S-1419[40],JODHPURI COAT S-1419 [40],rent,JODHPURI COAT,1,,,,CRIME,40,3,available,,,JYUT SINH VADU,TRUE
S-1420[38],JODHPURI COAT S-1420 [38],rent,JODHPURI COAT,1,,,,CRIME,38,3,available,,,JYUT GHODA VADU,TRUE
S-1421[36],JODHPURI COAT S-1421 [36],rent,JODHPURI COAT,1,,,,CRIME,36,3,available,,,JYUT SINH VADU,TRUE
S-1422[38],JODHPURI COAT S-1422 [38],rent,JODHPURI COAT,1,,,,BLACK ,38,3,available,,,AMRODAR SINH VADU,TRUE
S-1423[40],JODHPURI COAT S-1423 [40],rent,JODHPURI COAT,1,,,,CRIME,40,3,available,,,JYUT SINH VADU,TRUE
S-1424[38],JODHPURI COAT S-1424 [38],rent,JODHPURI COAT,1,,,,CRIME,38,3,available,,,JYUT SINH VADU,TRUE
S-1425[36],JODHPURI COAT S-1425 [36],rent,JODHPURI COAT,1,,,,CRIME,36,3,available,,,VELVET LOGO VADU NEW,TRUE
S-1426[42],JODHPURI COAT S-1426 [42],rent,JODHPURI COAT,1,,,,CRIME,42,3,available,,,VELVET RAA LOGO,TRUE
S-1427[36],JODHPURI COAT S-1427 [36],rent,JODHPURI COAT,1,,,,FALSA,36,3,available,,,VELVET DAMAN WORK,TRUE
S-1428[40],JODHPURI COAT S-1428 [40],rent,JODHPURI COAT,1,,,,CRIME,40,3,available,,,VELVET RAA LOGO,TRUE
S-1429[38],JODHPURI COAT S-1429 [38],rent,JODHPURI COAT,1,,,,CRIME,38,3,available,,,VELVET RAA LOGO,TRUE
S-1430[36],JODHPURI COAT S-1430 [36],rent,JODHPURI COAT,1,,,,MARUN,36,3,available,,,VELVET AMRODRI WORK BAYE BUTA STAT DESIGN,TRUE
S-1431[36],JODHPURI COAT S-1431 [36],rent,JODHPURI COAT,1,,,,LIGHT PINK,36,3,available,,,KERI FULL PRINT NEW,TRUE
S-1432[34],JODHPURI COAT S-1432 [34],rent,JODHPURI COAT,1,,,,BLUE,34,3,available,,,MULTI RAJA RANI,TRUE
S-1433[36],JODHPURI COAT S-1433 [36],rent,JODHPURI COAT,1,,,,CRIME,36,3,available,,,JYUT HARAN VADU,TRUE
S-1434[40],JODHPURI COAT S-1434 [40],rent,JODHPURI COAT,1,,,,CRIME,40,3,available,,,JYUT GHODA VADU,TRUE
S-1435[38],JODHPURI COAT S-1435 [38],rent,JODHPURI COAT,1,,,,GULABI,38,3,available,,,HATHI WORK,TRUE
S-1436[36],JODHPURI COAT S-1436 [36],rent,JODHPURI COAT,1,,,,BLUE,36,3,available,,,GALE KHBHE WORK,TRUE
